Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Built-in Mergesort/reverse [1..10],6.904322510773454e-8,6.810593302523311e-8,7.15452106506577e-8,4.615234763126858e-9,2.1236629131855495e-9,8.778691234159513e-9
Built-in Mergesort/reverse [1..100,5.972258774601278e-7,5.86999297511372e-7,6.133609197197887e-7,4.002241585461518e-8,2.6353333009440528e-8,5.8439307679212784e-8
Built-in Mergesort/[1..10],1.1074178664317461e-7,1.0913192955737111e-7,1.1504826327445825e-7,8.43858211273952e-9,4.678465488348605e-9,1.4741523194872723e-8
Built-in Mergesort/[1..100],9.151627987611078e-7,9.065374331084049e-7,9.279648389500965e-7,3.469413898148434e-8,2.6722128669828464e-8,5.648827845134462e-8
Built-in Mergesort/[1..1000],1.0130371752696292e-5,1.0026996814925326e-5,1.0252770246824207e-5,3.81702758836948e-7,3.16430980327777e-7,4.792690651031326e-7
Built-in Mergesort/replicate 100 5,9.351641150599462e-7,9.216595824463155e-7,9.595899533281443e-7,6.018827083942888e-8,3.888379076779086e-8,9.255173839463265e-8
Built-in Mergesort/replicate 1000 5,1.043504240091651e-5,1.024061561984803e-5,1.0983131893562703e-5,9.74181663132255e-7,4.6961870882799124e-7,2.067453895711612e-6
"Built-in Mergesort/[-89, 74, 8, 10, 34]",7.543858426732088e-8,7.215868649216449e-8,8.20459527297567e-8,1.4746528801381114e-8,8.233292647111442e-9,2.2470829940491808e-8
Built-in Mergesort/random 256-element list,4.247363918620231e-6,3.983609709211977e-6,4.651597779990755e-6,1.0973413551229357e-6,8.048468152665967e-7,1.4278074451423836e-6
Built-in Mergesort/random 512-element lit,9.560569134984017e-6,8.941722782150923e-6,1.0920938416635266e-5,2.8897554756752883e-6,1.3489027868581825e-6,5.448176335840669e-6
Built-in Mergesort/random 1024-elemnt list,1.8316217543301565e-5,1.8060095831526664e-5,1.87575281813197e-5,1.0778100739327056e-6,7.242826120154465e-7,1.8525392926725948e-6
Classic Bottom-Up Mergsort/reverse [1..10],2.5026612540899367e-7,2.4700240287777697e-7,2.5623619197563094e-7,1.4222623623804177e-8,8.953601294339552e-9,2.2661339164104063e-8
Classic Bottom-Up Mergsort/reverse [1..100,3.2464833134269225e-6,3.0640603663238563e-6,3.4491011865885676e-6,6.803102650353941e-7,5.603545874312567e-7,7.825679626462022e-7
Classic Bottom-Up Mergsort/[1..10],2.675310167859625e-7,2.628914905397582e-7,2.7737147424619886e-7,2.123410333395228e-8,1.0280325886836001e-8,3.5447179863975446e-8
Classic Bottom-Up Mergsort/[1..100],3.0702450548528017e-6,2.964408918247417e-6,3.2328192596321757e-6,4.724216059497997e-7,3.897783006468771e-7,6.36816355679921e-7
Classic Bottom-Up Mergsort/[1..1000],3.0112806063730116e-5,2.9681915113047527e-5,3.077366182173885e-5,1.7615144291930866e-6,1.2618458368122171e-6,2.3081722259327443e-6
Classic Bottom-Up Mergsort/replicate 100 5,2.6841952197284943e-6,2.6501541119782868e-6,2.7314956631695214e-6,1.3569321156346876e-7,9.385068949646678e-8,1.776622706681196e-7
Classic Bottom-Up Mergsort/replicate 1000 5,2.9410251380626616e-5,2.9163403683470357e-5,2.990530622323317e-5,1.1094208125766495e-6,6.795273713308408e-7,1.7580088959495518e-6
"Classic Bottom-Up Mergsort/[-89, 74, 8, 10, 34]",1.1666500692651942e-7,1.1522873178843315e-7,1.1878999830862817e-7,5.706551218419599e-9,4.033229386450786e-9,7.528825656904813e-9
Classic Bottom-Up Mergsort/random 256-element list,7.530569173613833e-6,7.2956444228389595e-6,7.905196227065997e-6,9.388966305059962e-7,6.008554513217096e-7,1.3776341623438625e-6
Classic Bottom-Up Mergsort/random 512-element lit,1.6188232526905396e-5,1.5771730750248868e-5,1.6794849784984336e-5,1.6192323761171366e-6,1.2397041918353232e-6,2.255211770462442e-6
Classic Bottom-Up Mergsort/random 1024-elemnt list,3.63760623792319e-5,3.5088711176021495e-5,3.902006226912194e-5,5.755794216588857e-6,2.5272795783412854e-6,8.987860620656575e-6
Insertion Sort/reverse [1..10],1.4692836054264294e-7,9.347859565165533e-8,3.5944835489317297e-7,3.4589604374886875e-7,6.538851793516524e-9,7.355850106291609e-7
Insertion Sort/reverse [1..100,9.432230619990323e-7,9.186537470747232e-7,9.832429907502042e-7,9.3817006781725e-8,6.249718099951842e-8,1.3038704803092057e-7
