Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Built-in Mergesort/reverse [1..10],6.346553645573937e-8,6.284859630474836e-8,6.441327492489716e-8,2.6380730672746715e-9,2.0320389954202182e-9,3.88300626351485e-9
Built-in Mergesort/reverse [1..100,5.735161215067491e-7,5.577390310965371e-7,6.240293817788006e-7,8.720833236165966e-8,2.0914434533559047e-8,1.8020538657619648e-7
Built-in Mergesort/[1..10],1.2086072562744616e-7,1.1468696516160624e-7,1.294350057403217e-7,2.3943666728982328e-8,1.8084020828301768e-8,3.125780255633661e-8
Built-in Mergesort/[1..100],1.012253428517776e-6,9.682303573061001e-7,1.0719985963056087e-6,1.7996059032902148e-7,1.344365755519989e-7,2.3051857180295082e-7
Built-in Mergesort/[1..1000],1.1235048202227032e-5,1.0786904663078224e-5,1.1859498079677355e-5,1.848938777772321e-6,1.4867892301700584e-6,2.415585455949784e-6
Built-in Mergesort/replicate 100 5,9.030664617240974e-7,8.882738583950279e-7,9.282783431543748e-7,6.037832420254823e-8,4.1003656492626604e-8,9.45066611744662e-8
Built-in Mergesort/replicate 1000 5,1.1705369895811786e-5,1.106534505188776e-5,1.2687911040825737e-5,2.8461322566593858e-6,2.2174200191078786e-6,3.977167995587626e-6
"Built-in Mergesort/[-89, 74, 8, 10, 34]",6.155418537834104e-8,6.028779084910209e-8,6.534266244641422e-8,6.8203981651160155e-9,2.147056155621955e-9,1.3381105437275829e-8
Built-in Mergesort/random 256-element list,3.610958212712902e-6,3.5662618707510663e-6,3.672572796800928e-6,1.7172109153391792e-7,1.1840932911222263e-7,2.2060859951665856e-7
Built-in Mergesort/random 512-element lit,7.958389777120213e-6,7.741331537543562e-6,8.449119071806919e-6,1.028163606119816e-6,5.867441598496626e-7,1.684302210357953e-6
Built-in Mergesort/random 1024-elemnt list,2.016045060911561e-5,1.889922188761999e-5,2.1954266252329734e-5,5.058386754353116e-6,3.823339808159339e-6,6.648318169735706e-6
Classic Bottom-Up Mergsort/reverse [1..10],2.7208498086804206e-7,2.6225003699935306e-7,2.846752929609911e-7,3.622242481922741e-8,2.9281076321068527e-8,5.473718833634232e-8
Classic Bottom-Up Mergsort/reverse [1..100,2.8317864761835607e-6,2.7383620068545922e-6,2.931680880991513e-6,3.352340544500615e-7,2.884156079969538e-7,4.0952219661003784e-7
Classic Bottom-Up Mergsort/[1..10],2.3566910032200993e-7,2.3394912562054126e-7,2.402421966866761e-7,8.787314039564489e-9,4.117046850947594e-9,1.677381570733879e-8
Classic Bottom-Up Mergsort/[1..100],2.665611205555936e-6,2.638354303501482e-6,2.7128507105431286e-6,1.1875590312050052e-7,7.007647602474197e-8,2.138454046872227e-7
Classic Bottom-Up Mergsort/[1..1000],2.8249298699762214e-5,2.7960955611332673e-5,2.8758525798998804e-5,1.2656674260453283e-6,6.745469729064846e-7,1.9939205716845105e-6
Classic Bottom-Up Mergsort/replicate 100 5,2.5954115747175924e-6,2.5783175246711025e-6,2.6224638709107026e-6,7.245017044267535e-8,4.8346141763132207e-8,1.0614608419374537e-7
Classic Bottom-Up Mergsort/replicate 1000 5,2.806827818321277e-5,2.779923735488392e-5,2.848923547712838e-5,1.1273478694444766e-6,7.614653591788387e-7,1.6423093886063923e-6
"Classic Bottom-Up Mergsort/[-89, 74, 8, 10, 34]",1.1404599158559027e-7,1.1330257057858811e-7,1.1535270875563975e-7,3.1585659637455776e-9,1.9214828422899185e-9,4.703118024033722e-9
Classic Bottom-Up Mergsort/random 256-element list,7.001559128671924e-6,6.9239976587308885e-6,7.120653757009854e-6,3.1725385103173875e-7,2.3095888801878032e-7,4.789872823653567e-7
Classic Bottom-Up Mergsort/random 512-element lit,1.495728069140704e-5,1.4822930678515982e-5,1.5219259116028938e-5,6.381482445369914e-7,4.310923107380383e-7,9.521232714463039e-7
Classic Bottom-Up Mergsort/random 1024-elemnt list,3.1304485540214484e-5,3.107475543737682e-5,3.169575408877449e-5,9.630845253776552e-7,5.620903640086722e-7,1.523878102053868e-6
Insertion Sort/reverse [1..10],9.11442120532426e-8,9.023198155601057e-8,9.244016928652538e-8,3.451529988741562e-9,2.731226470344209e-9,4.3296834142621486e-9
Insertion Sort/reverse [1..100,8.852073388619626e-7,8.747933941582571e-7,9.054157670592624e-7,4.7386902495641655e-8,2.963178111951844e-8,8.100253640146402e-8
Insertion Sort/[1..10],7.954386979872753e-8,7.891216820352163e-8,8.10194715196896e-8,3.2119902152092478e-9,1.9490165138024756e-9,5.0636646006245574e-9
Insertion Sort/[1..100],7.434138428876314e-7,7.36453517422763e-7,7.549979304812672e-7,2.841189796914634e-8,1.874457948527111e-8,4.009458936594521e-8
Insertion Sort/[1..1000],9.632529977406108e-6,9.495404778079947e-6,9.868409846499191e-6,5.768126290214958e-7,3.852527755628819e-7,8.929994948153043e-7
Insertion Sort/replicate 100 5,7.993875912788435e-7,7.900439009972485e-7,8.197549623659466e-7,3.9998489582908366e-8,2.4028479510646722e-8,7.66655323923103e-8
Insertion Sort/replicate 1000 5,1.0334091586847625e-5,1.0260467034897316e-5,1.0460998598763377e-5,3.1458854379605053e-7,2.2186988312755801e-7,4.789436163517447e-7
"Insertion Sort/[-89, 74, 8, 10, 34]",3.7327895042234265e-8,3.691210942037105e-8,3.826934585008268e-8,1.8589300021312014e-9,1.0257074068540214e-9,3.3528564307230365e-9
Insertion Sort/random 256-element list,2.4365661929227508e-6,2.400375507767911e-6,2.4883741931859403e-6,1.4869245812637338e-7,1.184579131833429e-7,1.917087250235098e-7
Insertion Sort/random 512-element lit,4.871922378845332e-6,4.84211868022379e-6,4.916493781889613e-6,1.2318621830492379e-7,9.10495542109884e-8,1.7396534110457535e-7
Insertion Sort/random 1024-elemnt list,1.0436729637266375e-5,1.0339312124272338e-5,1.0575891765921459e-5,3.8696386983228163e-7,2.802430675836645e-7,5.446922233613333e-7
Tail Call Insertion Sort/reverse [1..10],1.1118213763465878e-7,1.0914702031725799e-7,1.1606558699648373e-7,9.526403572955876e-9,3.3982757293787028e-9,1.7367677265947884e-8
Tail Call Insertion Sort/reverse [1..100,9.390981186988925e-7,9.291685405617487e-7,9.540660297794827e-7,3.9895218283316915e-8,2.8823480781901087e-8,6.629887327741766e-8
Tail Call Insertion Sort/[1..10],1.2291638541732208e-7,1.2103922637744543e-7,1.2552224420200282e-7,7.276117350802133e-9,5.524930984113256e-9,9.449668046099803e-9
Tail Call Insertion Sort/[1..100],1.0818743713612492e-6,1.0654774400383315e-6,1.104719486331011e-6,6.241963874926694e-8,4.649360005187716e-8,8.203795789532357e-8
Tail Call Insertion Sort/[1..1000],1.1213228545876932e-5,1.1054209541140838e-5,1.1532220348933213e-5,6.96161870264674e-7,4.1489672311296546e-7,1.0491147649738632e-6
Tail Call Insertion Sort/replicate 100 5,9.89188556247044e-7,9.766693445878776e-7,1.0193716030356621e-6,5.986332966213377e-8,3.041600401418635e-8,1.107422993442326e-7
Tail Call Insertion Sort/replicate 1000 5,9.962807400774337e-6,9.842151815833308e-6,1.015173399118262e-5,5.003631598455311e-7,3.64733099973366e-7,6.871108808141695e-7
"Tail Call Insertion Sort/[-89, 74, 8, 10, 34]",5.4037231695728e-8,5.332089314364074e-8,5.529757081657973e-8,3.053222509156936e-9,2.3261192674388434e-9,4.746473765537159e-9
Tail Call Insertion Sort/random 256-element list,2.798672910175611e-6,2.7779644038123834e-6,2.8334056767920792e-6,8.950849604685589e-8,5.943862187214941e-8,1.2035832004942458e-7
Tail Call Insertion Sort/random 512-element lit,5.57013252519828e-6,5.5221925857994e-6,5.639862673235002e-6,1.8246999809214915e-7,1.2752300809345227e-7,2.6300887069595843e-7
Tail Call Insertion Sort/random 1024-elemnt list,1.134613852534565e-5,1.1243799330830313e-5,1.157376588997448e-5,4.767276612781883e-7,2.595403025340073e-7,8.371053320591944e-7
Newbie's Quicksort/reverse [1..10],8.956101704659997e-7,8.866472585942885e-7,9.061942577353634e-7,3.399506311924629e-8,2.8722495922768277e-8,4.1579613056851744e-8
Newbie's Quicksort/reverse [1..100,7.627903166948436e-5,7.58145158071738e-5,7.708376033526952e-5,2.079833088350326e-6,1.457468185613407e-6,3.3264491510647427e-6
Newbie's Quicksort/[1..10],6.340109044892063e-8,6.323047023109889e-8,6.36842888965484e-8,7.29925528723129e-10,4.84841584416122e-10,1.1276389136476146e-9
Newbie's Quicksort/[1..100],5.011634011260592e-7,4.998890904709102e-7,5.045613200238693e-7,6.558406759614911e-9,2.7322631040526974e-9,1.2680988619755256e-8
Newbie's Quicksort/[1..1000],4.8129251113879464e-6,4.797536271322953e-6,4.8453417367918816e-6,7.042591034154056e-8,2.6282007811828745e-8,1.1789275767944988e-7
Newbie's Quicksort/replicate 100 5,5.064771097796428e-7,5.038872861614072e-7,5.141589354350317e-7,1.4223635790961633e-8,5.380319393717876e-9,2.7996731661785425e-8
Newbie's Quicksort/replicate 1000 5,4.910606765347186e-6,4.862174075103764e-6,5.007971159363668e-6,2.1511273391428354e-7,1.3897378495594118e-7,3.519936582692223e-7
"Newbie's Quicksort/[-89, 74, 8, 10, 34]",3.902754114564095e-8,3.847916284737741e-8,3.9845556445436875e-8,2.220838948943403e-9,1.4075851413580754e-9,3.518258567261181e-9
Newbie's Quicksort/random 256-element list,1.8844283183892548e-6,1.8701742200874786e-6,1.9105664202155183e-6,6.121436958164296e-8,4.535440095630683e-8,8.619204468044663e-8
Newbie's Quicksort/random 512-element lit,1.2471656989737263e-5,1.2333776933196349e-5,1.2679058515182188e-5,5.582928399936477e-7,4.480550648919561e-7,7.55143414230061e-7
Newbie's Quicksort/random 1024-elemnt list,2.794627112264292e-5,2.7613660844244322e-5,2.8393517638780558e-5,1.301977928875734e-6,9.331217516916395e-7,1.843220683869975e-6
Classic Haskell Quicksort/reverse [1..10],7.009478075511285e-7,6.800067539088308e-7,7.251615682950133e-7,7.613996482048975e-8,6.279588003276207e-8,9.697387102163104e-8
Classic Haskell Quicksort/reverse [1..100,1.2616922357883928e-4,1.2466926860018189e-4,1.2795071992590225e-4,5.355614429687321e-6,4.5149186808054205e-6,6.332308937150882e-6
Classic Haskell Quicksort/[1..10],1.1284219024705884e-7,1.1144049866373926e-7,1.1511320336260639e-7,6.098621023739709e-9,4.1412060194598855e-9,9.677415772059147e-9
Classic Haskell Quicksort/[1..100],1.297445361006419e-6,1.2827612219770083e-6,1.3151215488372084e-6,5.481819888722668e-8,4.3548949093727486e-8,6.99944052054076e-8
Classic Haskell Quicksort/[1..1000],1.611484957815528e-5,1.5747290404160748e-5,1.6701064643158927e-5,1.4773732366916906e-6,1.0023656566248914e-6,2.1069535088861873e-6
Classic Haskell Quicksort/replicate 100 5,1.2863098220642245e-6,1.2671298833864994e-6,1.3438872029830706e-6,9.749906868432181e-8,4.585005359404579e-8,1.8590329899731268e-7
Classic Haskell Quicksort/replicate 1000 5,1.5281328775873576e-5,1.5170505147170489e-5,1.5425079136220833e-5,4.140091247535452e-7,2.9439563062530907e-7,5.504831796560235e-7
"Classic Haskell Quicksort/[-89, 74, 8, 10, 34]",5.046049734696427e-8,4.996524336813652e-8,5.117114469724637e-8,1.9333979626006397e-9,1.500759848114532e-9,2.4105465826866013e-9
Classic Haskell Quicksort/random 256-element list,3.967057627924591e-6,3.92402943981772e-6,4.0714900946343385e-6,2.132108795001682e-7,1.1907651610289303e-7,3.8110052505666316e-7
Classic Haskell Quicksort/random 512-element lit,2.15366148985177e-5,2.1261711271092322e-5,2.1986186875928404e-5,1.1859455981561352e-6,7.354851822547671e-7,1.7646564072017026e-6
Classic Haskell Quicksort/random 1024-elemnt list,5.327870470825734e-5,5.256635750878091e-5,5.459021564371982e-5,3.191291625573244e-6,1.8075211100734998e-6,5.112269549262158e-6
Bird's Quicksort/reverse [1..10],1.0946147168753457e-7,1.087442526135301e-7,1.1075760800286449e-7,3.1710977795816426e-9,2.0144986655646188e-9,4.655589269439415e-9
Bird's Quicksort/reverse [1..100,1.1317534362844493e-6,1.1176975541258379e-6,1.1538769730123788e-6,5.6854232726096086e-8,4.11994593215926e-8,7.633601531520717e-8
Bird's Quicksort/[1..10],5.842467108004475e-8,5.794216925082296e-8,5.898226173862554e-8,1.8139991783595927e-9,1.5053572941116888e-9,2.227941798918864e-9
Bird's Quicksort/[1..100],5.764764823904176e-7,5.706672143311604e-7,5.832736551706809e-7,1.9946926162578276e-8,1.552570135270102e-8,2.6230126851840674e-8
Bird's Quicksort/[1..1000],6.157084495975398e-6,6.088941879773806e-6,6.2811432830718295e-6,3.129315389180638e-7,2.0962914082715005e-7,4.89043054872377e-7
Bird's Quicksort/replicate 100 5,5.793342557460266e-7,5.725374185830846e-7,5.86907374370822e-7,2.4468979739401786e-8,1.989216564778925e-8,3.061517912322558e-8
Bird's Quicksort/replicate 1000 5,6.303843354712329e-6,6.2293506352230574e-6,6.398130514541241e-6,2.661420006902548e-7,2.1122543565288122e-7,3.4723118848635434e-7
"Bird's Quicksort/[-89, 74, 8, 10, 34]",2.9344547200490105e-8,2.909401493192041e-8,2.9677794391822502e-8,9.298465927060214e-10,6.606482767958459e-10,1.2782690938796465e-9
Bird's Quicksort/random 256-element list,1.6884799658964917e-6,1.675121894201774e-6,1.7111325684230241e-6,5.62809086156872e-8,3.014417221429412e-8,9.292633449619038e-8
Bird's Quicksort/random 512-element lit,5.305260274125888e-6,5.265411428481931e-6,5.387050798115181e-6,1.8061195858048818e-7,1.2461676844352185e-7,2.5389531135393717e-7
Bird's Quicksort/random 1024-elemnt list,1.7083384507755397e-5,1.6849974458918468e-5,1.7353122115396647e-5,8.522397061757293e-7,7.012143593638954e-7,1.013499843528571e-6
Threey-way Quicksort/reverse [1..10],1.1756878290639823e-7,1.1667936894722295e-7,1.1882819726125697e-7,3.5351516487169356e-9,2.693170216954481e-9,4.4585960126097165e-9
Threey-way Quicksort/reverse [1..100,1.1597988862302103e-6,1.1520427301060923e-6,1.1704369870507227e-6,2.9845381179465165e-8,2.247241991747587e-8,3.7646260480364536e-8
Threey-way Quicksort/[1..10],6.31050138295699e-8,6.256917172715574e-8,6.414486463657467e-8,2.6025773581693436e-9,1.8436719856974617e-9,4.159392534695039e-9
Threey-way Quicksort/[1..100],5.992821429077421e-7,5.940848546983526e-7,6.075886791811639e-7,2.0582492073469024e-8,1.483037038868727e-8,2.7093349456417776e-8
Threey-way Quicksort/[1..1000],6.47421833970552e-6,6.4033524785797595e-6,6.592045978111893e-6,2.898872496953104e-7,2.1523685262260842e-7,4.167377913176196e-7
Threey-way Quicksort/replicate 100 5,4.1102757627376374e-7,4.0751609324521985e-7,4.1800446512029123e-7,1.613299741691017e-8,8.117613067663433e-9,2.5704825088598996e-8
Threey-way Quicksort/replicate 1000 5,4.74603263590465e-6,4.7037539231110846e-6,4.8342177227710735e-6,1.9960092014643023e-7,1.2674861888105684e-7,3.404966869324086e-7
"Threey-way Quicksort/[-89, 74, 8, 10, 34]",3.357201663248067e-8,3.332835150068478e-8,3.392751208548434e-8,9.539748985225749e-10,7.504454309928618e-10,1.4296694189257045e-9
Threey-way Quicksort/random 256-element list,1.7390643981237047e-6,1.728695586680076e-6,1.7582305921086802e-6,4.453858873149978e-8,2.7378314781084474e-8,7.245793013588011e-8
Threey-way Quicksort/random 512-element lit,6.171982830770838e-6,5.922724497518817e-6,6.604607633703207e-6,9.93427830339425e-7,7.357030645774923e-7,1.3681485177203941e-6
Threey-way Quicksort/random 1024-elemnt list,2.465932147939052e-5,2.2632231252339607e-5,2.881504060090889e-5,9.106116216178439e-6,6.26603599799918e-6,1.4753073550601855e-5
Insertion Sort + Quicksort/reverse [1..10],1.9770413757735711e-7,1.9575534552364996e-7,2.0053164341333232e-7,7.9648434333823e-9,6.4050588454472565e-9,1.0537321904056218e-8
Insertion Sort + Quicksort/reverse [1..100,2.08077904046873e-6,2.0201512081045562e-6,2.1857147054700876e-6,2.631437860738473e-7,1.832667229364372e-7,3.975144028684092e-7
Insertion Sort + Quicksort/[1..10],1.080862537293181e-7,1.0637540144182165e-7,1.1228178937126389e-7,8.423886681567665e-9,4.584480634723829e-9,1.5243481699705933e-8
Insertion Sort + Quicksort/[1..100],1.0060036783073904e-6,9.952591408244509e-7,1.0224355996746526e-6,4.44039571018186e-8,3.298258320413442e-8,6.144870664343218e-8
Insertion Sort + Quicksort/[1..1000],1.1414415270943529e-5,1.0979662445065256e-5,1.2441010746733705e-5,2.1300025578532334e-6,1.2514042563381675e-6,3.912128933164231e-6
Insertion Sort + Quicksort/replicate 100 5,1.1988671319786733e-6,1.1162191238969846e-6,1.3201003209553839e-6,3.166851510769475e-7,2.2527955179730232e-7,4.375806838488592e-7
Insertion Sort + Quicksort/replicate 1000 5,1.0283104820210591e-5,1.0195370984129699e-5,1.0462100070305482e-5,3.813977241595347e-7,2.385553333975164e-7,6.218660558127869e-7
"Insertion Sort + Quicksort/[-89, 74, 8, 10, 34]",4.5062282186656734e-8,4.480254316432874e-8,4.572036995614473e-8,1.2847909922628542e-9,6.166936298108425e-10,2.403307566447481e-9
Insertion Sort + Quicksort/random 256-element list,3.118732650538165e-6,3.1062789104942147e-6,3.148452333802291e-6,5.833847268249456e-8,3.613204743052792e-8,1.0642198520503451e-7
Insertion Sort + Quicksort/random 512-element lit,1.1980491636911543e-5,1.1911359102721834e-5,1.2126452081150053e-5,3.2312202110448757e-7,1.9104072865205313e-7,5.776214068442637e-7
Insertion Sort + Quicksort/random 1024-elemnt list,3.343096653779395e-5,3.318121874513266e-5,3.383167041101916e-5,1.0755299464641286e-6,7.01372478771258e-7,1.672602727425381e-6
